component,expected,actual,source,count
jungseong,ㅏ,ㅗ,synth,9
choseong,ㄸ,ㄷ,synth,8
jungseong,ㅏ,ㅡ,synth,7
jongseong,ㄷ,ㄴ,synth,6
choseong,ㄲ,ㄱ,synth,5
jongseong,∅,ㄴ,synth,5
jongseong,ㄷ,ㄱ,synth,5
jongseong,∅,ㄱ,synth,4
jungseong,ㅓ,ㅗ,synth,4
jongseong,ㅁ,ㄴ,synth,4
jungseong,ㅔ,ㅐ,synth,4
jungseong,ㅗ,ㅜ,user,3
jungseong,ㅓ,ㅘ,user,3
jungseong,ㅡ,ㅜ,synth,3
jungseong,ㅏ,ㅓ,synth,3
jungseong,ㅣ,ㅜ,synth,3
jungseong,ㅣ,ㅡ,synth,3
choseong,ㄷ,ㄴ,synth,3
jongseong,ㄷ,∅,synth,3
choseong,ㅂ,ㄷ,user,2
jongseong,ㄹ,∅,user,2
jungseong,ㅕ,ㅔ,user,2
choseong,ㅋ,ㅊ,user,2
jungseong,ㅕ,ㅏ,user,2
jungseong,ㅐ,ㅏ,user,2
choseong,ㄸ,ㄷ,user,2
jungseong,ㅏ,ㅣ,synth,2
choseong,ㅇ,ㅁ,synth,2
jongseong,∅,ㅁ,synth,2
choseong,ㅁ,ㅈ,synth,2
jongseong,∅,ㄹ,synth,2
jungseong,ㅡ,ㅣ,synth,2
jungseong,ㅔ,ㅢ,synth,2
choseong,ㄴ,ㄹ,synth,2
choseong,ㅆ,ㅅ,synth,2
jungseong,ㅣ,ㅗ,synth,2
jongseong,ㄴ,∅,synth,2
jongseong,ㄱ,ㄹ,synth,2
choseong,ㄸ,ㄴ,synth,2
choseong,ㅅ,ㄷ,user,1
jungseong,ㅕ,ㅓ,user,1
choseong,ㄲ,ㄱ,user,1
choseong,ㅊ,ㄷ,user,1
jungseong,ㅖ,ㅢ,user,1
choseong,ㅃ,ㅇ,user,1
jungseong,ㅡ,ㅜ,user,1
choseong,ㄹ,ㅎ,user,1
jungseong,ㅏ,ㅘ,user,1
jungseong,ㅕ,ㅐ,user,1
jongseong,∅,ㄴ,user,1
jongseong,ㄷ,∅,user,1
jongseong,ㄷ,ㄴ,user,1
jungseong,ㅔ,ㅐ,user,1
jongseong,ㅂ,ㄷ,user,1
choseong,ㄱ,ㄸ,synth,1
choseong,ㅂ,ㄱ,synth,1
choseong,ㅎ,ㅅ,synth,1
choseong,ㅅ,ㄴ,synth,1
choseong,ㅇ,ㅅ,synth,1
choseong,ㅇ,ㄷ,synth,1
choseong,ㅊ,ㅌ,synth,1
choseong,ㅊ,ㄱ,synth,1
jungseong,ㅓ,ㅝ,synth,1
choseong,ㅁ,ㅂ,synth,1
choseong,ㄹ,ㅉ,synth,1
jungseong,ㅐ,ㅏ,synth,1
choseong,ㅇ,ㄹ,synth,1
jungseong,ㅏ,ㅜ,synth,1
jongseong,ㅂ,ㄴ,synth,1
jongseong,ㅇ,ㄱ,synth,1
choseong,ㅁ,ㄸ,synth,1
jungseong,ㅜ,ㅗ,synth,1
jongseong,ㄷ,ㅇ,synth,1
jungseong,ㅗ,ㅓ,synth,1
jungseong,ㅕ,ㅗ,synth,1
choseong,ㅌ,ㄴ,synth,1
choseong,ㅁ,ㅅ,synth,1
choseong,ㅈ,ㅉ,synth,1
choseong,ㅍ,ㅃ,synth,1
choseong,ㄱ,ㅃ,synth,1
choseong,ㅁ,ㄹ,synth,1
choseong,ㄱ,ㅇ,synth,1
choseong,ㅁ,ㄷ,synth,1
choseong,ㅇ,ㅈ,synth,1
jungseong,ㅝ,ㅓ,synth,1
choseong,ㄹ,ㄴ,synth,1
choseong,ㄴ,ㅈ,synth,1
jungseong,ㅏ,ㅐ,synth,1
choseong,ㄲ,ㄹ,synth,1
jungseong,ㅕ,ㅔ,synth,1
jungseong,ㅣ,N,synth,1
jongseong,∅,U,synth,1
choseong,ㅇ,D,synth,1
jungseong,ㅗ,I,synth,1
jongseong,∅,O,synth,1
jongseong,ㄹ,ㅁ,synth,1
jongseong,ㄹ,ㄷ,synth,1
jongseong,ㄹ,∅,synth,1
choseong,ㅎ,ㄹ,synth,1
jungseong,ㅣ,ㅘ,synth,1
choseong,ㅇ,ㅂ,synth,1
jongseong,ㅇ,∅,synth,1
choseong,ㅃ,ㅍ,synth,1
choseong,ㄱ,ㅂ,synth,1
choseong,ㄴ,ㅅ,synth,1
jungseong,ㅗ,ㅜ,synth,1
choseong,ㅋ,ㅃ,synth,1
jongseong,ㄴ,ㄹ,synth,1
jungseong,ㅔ,ㅕ,synth,1
choseong,ㅋ,ㄸ,synth,1
jongseong,ㄷ,ㄹ,synth,1
choseong,ㅉ,ㅈ,synth,1
choseong,ㅈ,ㅊ,synth,1
choseong,ㄷ,ㅌ,synth,1
choseong,ㅎ,ㅈ,synth,1
jongseong,∅,ㄷ,synth,1
choseong,ㄷ,ㄸ,synth,1
jongseong,ㅂ,ㄷ,synth,1
choseong,ㄱ,ㅁ,synth,1
jungseong,ㅓ,ㅜ,synth,1
