file,target_text,intended_text,recognized,score_vs_target,verdict,elapsed_sec,note
normal_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,국물이 정말 시원하다,89,기타,2.4,정상 발음
normal_02.wav,밥을 먹었다,밥을 먹었다,밥을 먹었다,60,기타,1.1,정상 발음
normal_03.wav,신라면이 맵다,신라면이 맵다,신라면이 됐다,61,기타,1.4,정상 발음
normal_04.wav,좋다고 말했다,좋다고 말했다,조다고 말했다,83,기타,1.2,정상 발음
normal_05.wav,학교에 갔다,학교에 갔다,학교해 갔다,67,기타,1.1,정상 발음
normal_06.wav,옷이 예쁘다,옷이 예쁘다,오시 예쁘다,100,정확 인식,1.3,정상 발음
normal_07.wav,어머니가 오셨다,어머니가 오셨다,어머니가 오셨다,90,기타,1.4,정상 발음
normal_08.wav,라디오를 켰다,라디오를 켰다,라비오을 켰다,78,기타,1.6,정상 발음
normal_09.wav,읽고 다시 말했다,읽고 다시 말했다,읽고 다시 말했다,81,기타,2.0,정상 발음
normal_10.wav,같이 갑시다,같이 갑시다,같이 갑다,67,기타,1.5,정상 발음
wrong_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,국무리 정말 시원하다,96,기타,1.7,비음화 무시하고 [국물]로 또박또박
wrong_02.wav,밥을 먹었다,받을 먹었다,사을 먹었다,60,기타,1.5,종성 ㅂ→ㄷ 의도
wrong_03.wav,신라면이 맵다,신라면이 맵다,신 라면이 됐다,61,기타,1.4,유음화 미적용하고 [신라면]으로 또박또박
wrong_04.wav,좋다고 말했다,조흐다고 말했다,조은다고 말했다,71,기타,1.6,격음화 미적용
wrong_05.wav,학교에 갔다,학교에 갔다,학교에 갔다,80,기타,1.6,경음화 미적용
wrong_06.wav,옷이 예쁘다,옫이 예쁘다,오이 예쁘다,93,기타,1.6,연음 미적용
wrong_07.wav,어머니가 오셨다,오머니가 오솠다,어머니가 웃었다,71,기타,1.7,모음 대체 (ㅓ→ㅗ)
wrong_08.wav,라디오를 켰다,나디오를 켰다,날디오을 켰다,72,기타,1.6,초성 대체 (ㄹ→ㄴ)
wrong_09.wav,읽고 다시 말했다,일고 다시 말했다,일고 다시 말했다,86,기타,1.5,겹받침 오류 (ㄺ→ㄹ)
wrong_10.wav,같이 갑시다,갇이 갑시다,가이 갑시다,87,기타,1.7,자음 대체
